User ID,Username,Colour Roles,Message Count
1150957448513998858,whenisthewhereanswhy,None,2
1176279945236971600,deletedaccount1893._,None,78
462006384574201866,mr_nugget1010,None,2
1007157046619152415,heresmine,None,262
1239330085958455442,hms_javelin_,None,4
869954078598393856,noobgamer109909,None,10
1255944079754133575,erenzy0854,None,2
701839701069398107,pivot_world,None,20
1175888454702354446,rad213,None,44
1237625218776829962,pizza_09412,None,357
698929937247371265,choruku,None,7
1343250064230846497,purpleaipom,None,41686
1346442052614750260,emily_the_medic,None,73
1206057706314534933,mystix_78,None,39
1251999420279689359,blueisagi_7,None,6
304356396953108501,bimboolzoo,None,178
1350173180836315337,mandyju14,None,79
1296570779391099011,legingerman,None,52
1347953033149026334,comradebreznev,None,6
1239001869179686933,davthrax_,None,65
1265607492092821557,5_sugus_5,None,71
1021491860407058462,secretly_bongz,None,3712
940296775011557396,_devblox_,None,10
1350867054919421972,london__night,None,9
186754566870532096,glebary,None,86
1340869723977678911,goodytwoshoes2,None,16
1118244857597661275,artyfier_the_one_and_only,None,608
1319369371499368460,tashon956,None,943
1256990678219493479,darl0900,None,34
816664204265652265,kaito_xde,None,79
614831519550144515,v1bq,None,29
891518709158539364,aseer09.,None,153
1222593945071124661,oops656,None,18
959819515204608052,hab1b1_adam,None,96
1243582620487520270,starion1920,None,21
796381162469064714,traggon,None,131
1198662116333326377,solis.shu,None,393
1134938452144689252,wreckedmy,None,671
1350936739740389456,twl_pedophiles_bad,None,175
756235751091339494,xcalantha,None,92
1170922073326092379,4steven4,None,112
1043485833275113483,alph3us13,None,62
700530773421326336,stereotypicalblue,Yellow,2867
1180729153859883080,lucoto_,None,4
696191661084115035,philipforwhat,None,20
1281584987828654143,pang_jia_chen,None,4
841760683938414622,davout4,None,26
1258102503501729871,thekillercatreborn3,None,67
1259902862859829279,ludo4real,None,8
913572417555824660,astrocn,None,14
326098752576421898,aenguscupid,None,2
1004260219058131024,just_a_random_idiot,None,4
885894357805330494,pasamees,None,35
1349846949138010112,.enadog,None,122
932306959246446672,alpaka22,None,347
768770356491845643,xdmarmor,None,58
1266802905810337934,barombence23_aipom,None,37
1147799068458889297,autisticpigeon1_78425,None,13
342271870504009739,salablealloy525,None,115
664182463924404243,deadf1ame,None,152
1095446176821686434,gladiardinista,None,11
290187887365062657,garvi3lloken,None,58
482624498927927312,trophyhunter03,None,2
1203728592761135105,whyrumbling_93271,None,655
1172231219560316958,thenotoriouslarryt,None,396
1354339249499017357,uncondemn,None,176
1145337098015084555,123sigma___,None,14
1163934613727629362,adorable_wolf_72516,None,12
1355451408786391063,hiyeshellobro_0,Yellow,11005
776513492240695309,yubby360,None,7
1346515957774024714,shinnkkj,None,129
592762214922977302,xxbonxx,None,48
966369506161197066,bucktardwater,None,238
290094488020451329,rinnaide,None,31
1152853994151104524,helloguys2010,None,1
1326775318320644148,sctzna_1,None,414
1356013027853598860,theofficial3428,None,8994
871277498128814101,mr.brodley_123,None,1
1299102409158823967,indra900,Blue,7028
1242592587014078599,neonveli1307,None,8
1325766648359292938,the_real_mikvandon100,None,14
